PLAYER NAME,TEAM NAME,MATCHES PLAYED,MINUTES PLAYED,GOALS,ASSISTS,SHOTS,CHANCE CREATED,PASSES,SHOTS ON TARGET,TOUCHES,FOULS,FOULS EARNED,YELLOW CARD,RED CARD,AERIAL DUEL WON,COUNTRY,Overall,Potential
FEDOR ?ERNYCH,KERALA BLASTERS FC,5,338,1,0,4,5,117,4,161,8,6,1,0,9,LITHUNIA,,
ISHAN PANDITA,KERALA BLASTERS FC,55,1323,9,0,49,10,190,23,418,28,13,1,0,24,INDIA,,
NIHAL SUDHEESH,KERALA BLASTERS FC,11,248,0,1,4,4,62,2,122,7,3,0,0,2,INDIA,,
RAHUL KANNOLY PRAVEEN,KERALA BLASTERS FC,65,3827,7,3,72,28,1035,30,1829,132,41,17,1,81,INDIA,,
AYUSH CHHIKARA,MUMBAI CITY FC,8,207,0,0,6,1,35,3,77,11,3,0,0,4,INDIA,,
BIPIN SINGH THOUNAJAM,MUMBAI CITY FC,97,7003,24,11,113,93,1811,63,3027,113,49,3,0,30,INDIA,61,61
GURKIRAT SINGH,MUMBAI CITY FC,23,250,1,0,12,0,77,6,173,25,12,3,0,8,INDIA,,
IKER GUARROTXENA VALLEJO,MUMBAI CITY FC,26,2169,14,2,67,19,688,27,1076,103,73,3,0,37,SPAIN,,
JORGE ROLANDO PEREYRA DÍAZ,MUMBAI CITY FC,52,3966,25,8,82,75,841,47,1385,123,55,16,1,34,ARGENTINA,,
LALLIANZUALA CHHANGTE,MUMBAI CITY FC,136,10413,33,16,194,154,3121,115,5398,232,127,9,0,46,INDIA,,
SEILENTHANG LOTJEM,MUMBAI CITY FC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,INDIA,,
VIKRAM PARTAP SINGH SANDHU,MUMBAI CITY FC,62,1785,9,1,45,24,508,21,1011,95,45,10,1,27,INDIA,,
ROCHHARZELA,NORTHEAST UNITED FC,38,1349,4,2,16,17,281,8,588,47,13,5,0,6,INDIA,,
HUIDROM THOI SINGH,NORTHEAST UNITED FC,5,123,0,0,1,0,34,1,59,4,2,0,0,0,INDIA,,
JITHIN MADATHIL SUBRAN,NORTHEAST UNITED FC,32,2300,2,3,27,28,528,6,994,48,24,2,0,11,INDIA,,
MANVIR SINGH,NORTHEAST UNITED FC,11,296,0,0,3,5,65,0,100,7,2,0,0,9,INDIA,51,61
PARTHIB SUNDAR GOGOI,NORTHEAST UNITED FC,32,1767,7,2,30,24,329,18,674,33,18,3,0,11,INDIA,,
REDEEM TLANG,NORTHEAST UNITED FC,86,4652,9,4,57,54,1394,25,2496,170,69,16,1,36,INDIA,56,56
TOMI JURI?,NORTHEAST UNITED FC,4,240,5,0,12,0,54,7,95,10,6,0,0,11,AUSTRALIA,,
ANIKET ANIL JADHAV,ODISHA FC,73,2863,4,3,47,29,561,16,1274,99,43,8,0,19,INDIA,,
APHAOBA SINGH ASHANGBAM,ODISHA FC,1,8,0,0,0,0,1,0,2,1,0,0,0,0,INDIA,,
CY STEPHEN GODDARD,ODISHA FC,29,1602,1,5,9,43,610,4,971,63,47,2,0,1,JAPAN,,
DIEGO MAURÍCIO MACHADO DE BRITO,ODISHA FC,65,4352,34,7,98,52,1012,60,1717,121,74,7,1,43,BRAZIL,,
JERRY MAWIHMINGTHANGA,ODISHA FC,114,8234,13,20,100,107,2060,41,3748,244,152,10,0,36,INDIA,58,58
PRANJAL PRAKASH BHUMIJ,ODISHA FC,31,705,1,1,15,8,183,7,355,22,11,4,0,9,INDIA,,
ROY CHRISTOPHER KRISHNA,ODISHA FC,100,8340,54,24,187,132,1859,101,3275,314,166,9,1,134,FIJI,,
BIDYASHAGAR SINGH KHANGEMBAM,PUNJAB FC,11,62,0,1,3,4,28,1,51,0,0,0,0,0,INDIA,,
DANIEL LALHLIMPUIA,PUNJAB FC,60,2468,5,4,43,33,606,21,998,68,41,0,0,10,INDIA,53,56
LUKA MAJCEN,PUNJAB FC,18,1514,6,1,25,19,325,14,487,44,24,3,0,21,SLOVENIA,,
PRASANTH KARUTHADATHKUNI MOHAN,PUNJAB FC,86,3864,2,4,25,37,975,15,1735,86,47,5,0,22,INDIA,,
RANJEET SINGH PANDRE,PUNJAB FC,3,27,0,0,0,0,18,0,23,1,1,0,0,0,INDIA,,
WILMAR JORDÁN GIL,PUNJAB FC,22,1297,13,1,44,12,301,26,571,42,27,2,1,34,COLOMBIA,,
